ticker,name,isin,cnpj,segment,type,price,nav,dy,dy_months,dy_avg_month_6m,pvp,liquidity,pl,vacancy,properties,shareholders,shares,admin_fee,growth_12m,growth_pl_12m,growth_shareholders_12m,change_30d,high_252d,low_252d,report_date,price_date,price_stale_days,dividend_source,score,classification,flags,score_valuation,score_income,score_liquidity,score_size,score_operational,score_growth
TGAR11,FII TG ATIVO REAL,BRTGARCTF009,25032881000153,Multicategoria,Híbrido,44.4,107.23574492,9.148349,12,0.6553023333333333,0.4140410460441458,3595668.552,2527328643.75,,1.0,129261.0,23567968.3637,6.1e-05,-9.921214794987332,-2.725953683463167,-17.116475906511496,-1.8350652221976516,94.5,42.32,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,46.3,Risco,,33.6,46.1,73.9,64.8,55.0,0.3
JASC11,JASC RENDA FII RL,BRJASCCTF007,40886241000102,Varejo,Tijolo,100.0,114.54873,7.5177000000000005,12,0.6410333333333333,0.872990909632957,39483.19933333333,441148578.03,,,163.0,3851187.0,0.000467,5.230797637182122,11.673716486485453,-1.2121212121212088,0.725221595487513,108.0,81.0,2026-07-01,2026-09-16,1,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,46.1,Oportunidade,,96.6,28.0,0.0,20.2,55.0,50.8
HGBL11,HEDGE BRASIL LOGÍSTICO INDUSTRIAL FII DE RESP LIMITADA,BRHGBLCTF005,53466467000198,Logística,Tijolo,9.0,9.7132989107145,9.2686,12,0.7578999999999999,0.9265647111994384,82471.54033333334,255088732.76,,,4900.0,26261802.0,0.000543,5.983375029647253,7.822222960463465,4.144527098831041,5.509964830011738,10.0,8.08,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,46.1,Oportunidade,,88.5,47.4,0.0,6.2,55.0,53.3
BIPD11,BRIO REAL ESTATE IV - FII,BRBIPDCTF001,42869892000101,Residencial,Tijolo,989.33,1097.53198335733,6.5758,11,0.7271666666666666,0.9014133665368528,970267.8066666666,121210334.71,,,112.0,110439.0,0.0018275573657146,5.454121985076587,10.007343069252283,0.9009009009008917,-1.0669999999999957,1000.0,989.33,2026-07-01,2026-03-20,181,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,46.0,Oportunidade,preco_defasado,92.3,17.5,40.4,0.0,55.0,51.5
VGII11,VALORA CRI INFRA FII II,BRVGIICTF007,52649680000172,Multicategoria,Híbrido,62.54,61.5425517,6.094811,12,0.5226983333333334,1.0162074576443019,1886445.1136842107,31932276.09,,,8.0,518865.0,0.000376,65.0755635109281,-36.515539644810445,166.66666666666666,-38.32955329849127,101.41,61.18,2026-07-01,2026-09-09,8,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,45.9,Oportunidade,preco_defasado,75.1,12.2,57.4,0.0,55.0,100.0
TRXB11,TRX REAL ESTATE II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,BRTRXBCTF002,36368925000137,Multicategoria,Híbrido,181.5,105.03375462061,35.6816,12,2.58915,1.7280159188404904,5151763.674000001,427069557.03,,3.0,906.0,4066022.0,0.000191929110026,57.60942671478691,13.885520096240512,101.33333333333331,6.134144202093461,209.89,147.01,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,45.9,Risco,dy_extremo,0.0,60.0,83.0,19.4,55.0,100.0
FLCR11,FARIA LIMA CAPITAL RECEBÍVEIS IMOBILIÁRIOS I - FII,BRFLCRCTF004,33884145000151,Outros,Outros,90.98,94.4535480232601,11.6186,10,1.2098166666666668,0.9632248010164245,82152.63000000002,71014333.36,,,2617.0,751844.0,0.0009071032135645,-6.101802168049747,1.2553903728952154,-13.458994708994709,0.6415929203539728,98.05,82.57,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,45.9,Oportunidade,,83.0,73.5,0.0,0.0,55.0,13.0
SPTW11,SP DOWNTOWN FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,BRSPTWCTF002,15538445000105,Outros,Outros,34.49,53.772077814238,10.4985,12,0.9547499999999999,0.6414109590324886,103723.46533333331,96682195.91,,,16331.0,1798000.0,0.0003425323523974,-10.741772601035905,-8.175338386061615,-13.308206816010193,4.230885463886369,44.43,27.51,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,45.8,Oportunidade,,100.0,61.1,0.0,0.0,55.0,0.0
HUCG11,F.I.I HOSPITAL UNIMED CAMPINA GRANDE RESPONS.LIMITADA,BRHUCGCTF004,39347413000182,Hospital,Tijolo,86.02,127.149466749015,6.9616,12,0.4896666666666667,0.6765266280652048,3182.326,142464365.72,,,249.0,1120448.0,0.000607,14.713365205901528,22.559777622103482,6.866952789699576,2.4169543993332487,117.14,80.08,2026-08-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,45.8,Oportunidade,,100.0,21.8,0.0,0.0,55.0,82.4
SNME11,SUNO MULT FII RL,BRSNMECTF000,52227760000130,Multicategoria,Híbrido,9.4,9.720427,8.455,12,0.0,0.9670357073819905,182906.86033333334,72108487.12,,,9173.0,7418243.0,0.001026,69.20974247821717,3.695841148860124,134.7236438075742,0.0,10.28,9.0,2026-07-01,2026-09-17,0,CVM Informe Mensal — Percentual_Dividend_Yield_Mes,45.7,Oportunidade,,82.4,38.4,0.0,0.0,55.0,100.0
